product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
38175545,Claura,Women,Dresses,Apparel,Dress,Dresses,3999,1293,2706,1.0,(68% OFF),176.0,1117.0,0.0,0,0,40,True,"S,M,L,XL,XXL",True,2026-01-30,Summer,False,,False,2025,EXPRESS,Delivery By Feb 2,recommended
30131820,StyleStone,Women,Dresses,Apparel,Dress,Dresses,2699,1349,1350,1.0,(50% OFF),250.0,1099.0,3.7747747898101807,111,0,6,True,"S,M,L,XL,XXL",True,2026-01-30,Winter,True,Crazy_Deal|GST_Benefit_Included|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 31,recommended
34443868,Gujari,Women,Dresses,Apparel,Dress,Dresses,2999,569,2430,1.0,(81% OFF),171.0,398.0,3.865714311599731,350,0,1546,True,"M,L,XL,XXL,3XL,4XL",True,2026-01-30,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Feb 1,recommended
37570362,SZN,Women,Dresses,Apparel,Dress,Dresses,2499,999,1500,1.0,(60% OFF),250.0,749.0,4.300000190734863,10,0,4991,True,"S,M,L,XL",True,2026-01-30,Winter,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Feb 2,recommended
30557109,Rain & Rainbow,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3595,1194,2401,1.0,(67% OFF),250.0,944.0,4.32608699798584,184,0,47,True,"S,M,L,XL,XXL",True,2026-01-30,Summer,False,Festive_Price_Crash|GST_Benefit_Included,True,2024,EXPRESS,Delivery By Jan 31,recommended
30719396,DressBerry,Women,Dresses,Apparel,Dress,Dresses,4997,1499,3498,1.0,(70% OFF),250.0,1249.0,4.307692527770996,91,0,25,True,"XS,S,M,L,XL,XXL",True,2026-01-30,Winter,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2024,EXPRESS,Delivery By Feb 1,recommended
27267472,DODO & MOA,Women,Dresses,Apparel,Dress,Dresses,2490,576,1914,1.0,(77% OFF),173.0,403.0,3.921259880065918,127,0,487,True,"S,M,L,XL,XXL",True,2026-01-30,Spring,True,,False,2024,EXPRESS,Delivery By Feb 1,recommended
34159678,Trendyol,Women,Dresses,Apparel,Dress,Dresses,2399,1079,1320,1.0,(55% OFF),250.0,829.0,4.3125,192,0,718,True,"XS,S,M,L,XL",True,2026-01-30,Summer,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2026,EXPRESS,Delivery By Jan 31,recommended
36393980,PIMU,Women,Dresses,Apparel,Dress,Dresses,2999,570,2429,1.0,(Rs. 2429 OFF),171.0,399.0,4.096899032592773,2064,0,65,True,"S,M,L,XL,XXL,3XL",True,2026-01-30,Summer,True,,False,2025,EXPRESS,Delivery By Feb 1,recommended
38979354,Moda Rapido,Women,Dresses,Apparel,Dress,Dresses,2499,499,2000,1.0,(80% OFF),100.0,399.0,2.400000095367432,20,0,90,True,"S,M,L,XL",True,2026-01-30,Winter,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Feb 2,recommended
